sysid,topid,name,level,sublevel,subcount,subcountall,登录用户名,身份证号码,状态,用户类别,手机号码,账户创建时间,已完成赠与次数,已完成赠与总额,已完成受助次数,已完成受助总额,已支出善种子,剩余善种子,已支出善心币,剩余善心币,已支出善金币,剩余善金币,出局钱包已支出,出局钱包剩余,管理钱包已支出,管理钱包剩余,接单钱包已支出,接单钱包剩余,特困钱包已支出,特困钱包剩余,贫穷钱包已支出,贫穷钱包剩余,小康钱包已支出,小康钱包剩余,德善钱包已支出,德善钱包剩余,富人钱包已支出,富人钱包剩余,大德钱包已支出,大德钱包剩余,开户行,银行账号,地址
200011,1,钱程*,2,0,0,0,qc778899,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,54300,0,0,16,0,0,1500,27300,0,0,0,0,0,0,0,30600,0,0,0,0,0,0,0,0,0,中国工商银行辽宁省葫芦岛分行南票支行,6227123456789012345,辽宁省葫芦岛市男票区二委路39栋6号
200012,1,于*英,2,0,0,0,king1314yzy87,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,42000,13,51000,2,0,17,0,0,2570,27300,0,600,570,0,0,0,0,27300,0,0,0,0,0,0,0,0,0,农业银行宽甸县满族自治县支行,6227123456789012345,辽宁省丹东市宽甸县龙盛花园对过
200013,2,李*梅,3,1,19,19,siaad123,430123456789012345,未激活,普通用户,13412345678,2016年10月19日,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,NULL,6227123456789012345,NULL
200014,2,张春*,3,0,0,0,13835897939,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,42000,13,50400,0,0,14,0,0,1400,27300,0,0,0,0,0,0,0,26700,0,0,0,0,0,0,0,0,0,中国工商银行,6227123456789012345,山西省万荣县通化镇东卫一村后巷258号
200015,2,王*峰,3,0,0,0,wxf181818,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,42000,14,54300,0,0,15,1,0,1400,27300,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,中国工商银行巫山支行,6227123456789012345,重庆市巫山县高唐街道宁江路999号阳光水岸小区
200016,2,杨*荣,3,0,0,0,17799213136,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,42000,13,56000,2,0,18,0,0,7430,30000,0,5900,130,0,0,0,0,30200,0,0,0,0,0,0,0,0,0,天山农商银行,6227123456789012345,乌鲁木齐市水磨沟区七道湾山水兰德15号楼402
200017,2,林娟*,3,0,0,0,13558092432,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,42000,13,50400,0,0,17,0,0,1940,27300,0,500,40,0,0,0,0,27200,0,0,0,0,0,0,0,0,0,广西北海市工商银行四川路总行,6227123456789012345,北海市银海区银滩镇和平村委小镐蚝路村2号
200018,2,贺丽*,3,0,0,0,hlj8811,430123456789012345,已激活,B轮功德主,13412345678,2016年10月19日,11,87000,10,90600,151,81,787,20,0,33602,19500,0,28700,3602,0,0,0,0,20100,0,96200,0,0,0,0,0,0,0,中国农业银行,6227123456789012345,黑龙江省东宁市建行住宅楼四单元402
200019,3,杨春*,3,1,18,18,15198681708,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,12,63000,11,42900,0,0,15,1,0,1300,23400,0,0,0,0,0,0,0,19500,0,36000,0,0,0,0,0,0,0,中国建设银行云南省西双版纳景洪市西路支行,6227123456789012345,云南西双版纳景洪市花半里8~3~101
200020,3,王睿*,3,5,18,75,005005917,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,11,114000,11,142600,0,0,22,0,0,5360,24400,0,3400,560,0,0,0,0,8800,0,109400,0,0,0,0,0,0,0,农行,6227123456789012345,黑龙江省大庆市肇州县鑫悦城宾馆
200021,3,何瑶*,3,0,0,0,yao0603,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,10,28000,10,36600,3,0,22,0,0,1811,13000,0,500,311,0,0,0,0,23600,0,0,0,0,0,0,0,0,0,中国农业银行渠县支付,6227123456789012345,四川省渠县涌兴镇中心卫生院
200022,3,李*燕,3,0,0,0,y15514791351,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,56600,12,0,63,3,5,5635,31200,0,3600,540,0,0,0,0,30300,0,0,0,0,0,0,0,0,0,中国工商银行,6227123456789012345,河南省温县温泉镇张圪垱居一号
200023,3,丁*赵,3,0,0,0,king1314dhz1,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,58300,5,0,18,0,0,6270,27300,0,4400,370,0,0,0,0,35300,0,0,0,0,0,0,0,0,0,中国工商银行山西省运城市人民北路支行,6227123456789012345,山西省临猗县孙吉镇蔡村三组
200024,3,张*毅,3,0,0,0,13996406387,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,10,165000,10,198300,0,0,15,0,0,1500,180000,3900,0,0,0,0,0,0,18300,45,0,0,0,0,0,0,0,0,重庆市农村商业银行长寿支行,6227123456789012345,重庆市长寿区渡舟街道东海假日花园9栋15-8
200025,4,潘*盛,2,2,17,18,king1314pxs198,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,54300,0,0,16,1,0,1500,31200,0,0,0,0,0,0,0,26700,0,0,0,0,0,0,0,0,0,中国银行湖北黄冈东坡支行,6227123456789012345,湖北省罗田县春意楼1-3-401
200026,4,邱*云,2,0,0,0,txl15851610554,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,57400,11,0,105,5,600,4140,31200,0,3100,140,0,0,0,0,29800,0,0,0,0,0,0,0,0,0,工商银行张家港分行营业部,6227123456789012345,北京市顺义区马坡花园一区13号楼5门101室
200027,4,罗*全,2,0,0,0,luojiaoquan01,430123456789012345,未激活,普通用户,13412345678,2016年10月19日,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,NULL,6227123456789012345,NULL
200028,4,陈*玲,2,0,0,0,13062518872,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,55300,5,0,51,4,0,2760,27300,0,1000,260,0,0,0,0,31600,0,0,0,0,0,0,0,0,0,农业银行南京市光华路支行,6227123456789012345,江苏省南京市秦淮区三条营3号
200029,4,孙瑜*,2,0,0,0,群诺0513,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,13,39000,12,46800,2,0,23,0,0,2020,23400,0,0,720,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,招商银行济南分行,6227123456789012345,山东省济南市历下区解放东路36号姚家雁翔苑15号楼704
200030,4,宋克*,2,0,0,0,skq8102,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,96000,13,96400,16,0,26,0,0,20110,28900,0,18300,210,0,0,0,0,23600,0,84600,0,0,0,0,0,0,0,中国工商银行,6227123456789012345,湖南省道县上关乡坝子塘村2组
200031,4,于荣*,2,0,0,0,yry712161,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,42000,14,58600,6,0,20,1,0,6440,27300,0,4300,740,0,0,0,0,31300,0,0,0,0,0,0,0,0,0,中国邮政储蓄银行,6227123456789012345,河北省唐山市滦县东安各庄镇西安各庄村9排24号
200032,4,李肖*,2,0,0,0,15207757560,430123456789012345,未激活,普通用户,13412345678,2016年10月19日,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,NULL,6227123456789012345,NULL
200033,4,张雅*,2,0,0,0,15342269779,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,13,39000,13,50400,0,0,17,0,0,1400,23400,0,0,0,0,0,0,0,30600,0,0,0,0,0,0,0,0,0,农行,6227123456789012345,山西省沁县定昌镇南关道56号1户
200034,5,金春*,2,0,0,0,15205190515,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,54300,0,0,16,2,0,1500,27300,0,0,0,0,0,0,0,30600,0,0,0,0,0,0,0,0,0,农业银行南京市光华路支行,6227123456789012345,江苏省南京市秦淮区风光里37号303
200035,5,刘涛*,2,0,0,0,king1314tao88,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,58400,2,0,44,0,0,5760,27300,0,4100,160,0,0,0,0,34700,0,0,0,0,0,0,0,0,0,工行,6227123456789012345,咸阳市陈阳寨陈阳新界14号楼
200036,5,郭惠*,2,0,0,0,15377325979,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,64500,47,2,172,13,12000,6150,27800,0,11700,4950,0,0,0,0,41800,0,0,0,0,0,0,0,0,0,湖南省湘潭市雨湖区工商银行,6227123456789012345,湖南省湘潭市雨湖区南岭路45号7栋2单元6号
200037,5,廖欢*,2,0,0,0,mnb289,430123456789012345,已冻结,普通用户,13412345678,2016年10月19日,13,39000,13,52800,0,0,14,0,0,3760,27300,0,2100,360,0,0,0,0,25500,0,0,0,0,0,0,0,0,0,中国农业银行,6227123456789012345,广东省佛山市南海区里水镇香堤水岸2栋501
200038,5,李*民,2,0,0,0,13028055625,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,55800,8,3,52,1,0,4201,27300,0,2400,301,0,0,0,0,40800,0,0,0,0,0,0,0,0,0,山西省晋城市工商银行,6227123456789012345,山西省晋城市陵川县崇文镇北四渠村四组91号
200039,5,方*梅,2,0,0,0,13804388549,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,63000,4,0,72,1,51,11739,27900,0,9900,390,0,0,0,0,40200,0,0,0,0,0,0,0,0,0,扶余工商行站前支行,6227123456789012345,吉林省松原市扶余德卡花园
200040,5,张*阳,2,0,0,0,17715263310,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,6,18000,6,23400,0,0,6,0,0,600,19500,0,0,0,0,0,0,0,3900,0,0,0,0,0,0,0,0,0,中国招商银行南京弘阳支行,6227123456789012345,江苏省南京市桥北新村26栋1单301
200041,5,胡*芽,2,0,0,0,hmy180,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,12,171000,11,212100,2,0,19,0,0,14570,183600,0,12500,370,0,0,0,0,33500,0,0,0,0,0,0,0,0,0,建设银行武汉雄楚支行,6227123456789012345,湖北省武汉市洪山区名士1号小区
200042,5,刘*会,2,0,0,0,15877361266,430123456789012345,未激活,普通用户,13412345678,2016年10月19日,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,NULL,6227123456789012345,NULL
200043,200013,梁玉*,4,0,0,0,lyy654321,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,61900,29,0,162,10,0,12540,23900,3900,9100,1940,0,0,0,0,43100,0,0,0,0,0,0,0,0,0,广东省肇庆市端州区古塔支行,6227123456789012345,广东省肇庆市端州区建设二路杏花庄渡头村东风队351号
200044,200013,温月*,4,0,0,0,wyl2999,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,13,56000,13,71400,11,0,48,0,2490,6110,43500,3900,5900,1300,0,0,0,0,32900,0,0,0,0,0,0,0,0,0,中国农业银行单县开发区支行,6227123456789012345,山东省菏泽市单县舜师名园4号楼二单元302
200045,200013,焦*伟,4,0,0,0,焦伟3559,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,13,39000,12,46800,2,0,21,0,1750,0,23400,0,0,450,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,中国工商银行,6227123456789012345,辽宁省沈阳市康平县二牛乡刘家窝堡东组070292
200046,200013,黄*清,4,0,0,0,13686743251,430123456789012345,未激活,普通用户,13412345678,2016年10月19日,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,NULL,6227123456789012345,NULL
200047,200013,蒋*萍,4,0,0,0,13770337255,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,58400,17,0,180,7,0,8070,32200,0,4100,2470,0,0,0,0,29800,0,0,0,0,0,0,0,0,0,农业银行南京市大明路支行,6227123456789012345,江苏省南京市秦淮区龙翔雅苑74号501
200048,200013,黄*伟,4,0,0,0,huangjiwei,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,10,111000,9,99300,7,3,27,0,0,2110,51600,0,0,810,0,0,0,0,11700,0,72000,0,0,0,0,0,0,0,邮政银行广东省深圳市新安支行,6227123456789012345,深圳市宝安区32区上川村3片72号603
200049,200013,万*桥,4,0,0,0,king1314wtq9107,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,11,330000,10,354000,2,0,24,0,0,4960,180000,0,2700,60,0,0,0,0,0,0,209700,0,0,0,0,0,0,0,中国银行,6227123456789012345,湖北省汉川市田二河镇二河村一组
200050,200013,童心*,4,0,0,0,tx15107413398,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,42000,14,54300,1,0,15,0,0,1400,31200,0,0,0,0,0,0,0,23100,0,0,0,0,0,0,0,0,0,工商银行,6227123456789012345,湖南省吉首永顺县地税宿舍
200051,200013,朱莉*,4,0,0,0,zlxjyy014677,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,12,134000,11,167800,36,0,201,2,0,15581,109300,0,10000,3981,0,0,0,0,23700,0,39900,0,0,0,0,0,0,0,中国建设银行河南省焦作市焦东路支行,6227123456789012345,河南省焦作市中弘名都城
200052,200013,汤*立,4,0,0,0,tyl779,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,42000,13,56500,47,0,189,0,0,9610,24100,3900,7600,610,0,0,0,0,37500,0,0,0,0,0,0,0,0,0,中国建设银行,6227123456789012345,浙江省义乌市西城路750号
200053,200013,陈*华,4,0,0,0,cjh126982,430123456789012345,未激活,普通用户,13412345678,2016年10月19日,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,NULL,6227123456789012345,NULL
200054,200013,张*玲,4,0,0,0,15072982482,430123456789012345,未激活,普通用户,13412345678,2016年10月19日,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,NULL,6227123456789012345,NULL
200055,200013,卢*丽,4,0,0,0,lyl258,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,4,12000,5,16400,0,0,9,0,0,2020,15600,0,800,820,0,0,0,0,800,0,0,0,0,0,0,0,0,0,中国交通银行,6227123456789012345,广西南宁市西乡塘区北湖路城市春天15栋B单元501号
200056,200013,冯*银,4,0,0,0,king1314fcy19,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,8,190000,9,225000,0,0,16,0,0,1600,156000,0,0,0,0,0,0,0,0,0,69000,0,0,0,0,0,0,0,工商银行山东省潍坊市寒亭分行,6227123456789012345,山东省潍坊市寒亭区益新街益新嘉苑1号楼
200057,200013,杨*利,4,0,0,0,ycl8686,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,16,48000,14,60100,70,0,282,6,9110,4940,27800,0,7000,5450,0,0,0,0,37400,3600,0,0,0,0,0,0,0,0,中国农业银行,6227123456789012345,广西省北海市，海城区徐屋东一区三巷10号
200058,200013,张*栋,4,0,0,0,king1314zgd8888,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,54300,0,0,16,0,0,1500,31200,0,0,0,0,0,0,0,26700,0,0,0,0,0,0,0,0,0,中国农业银行凤城市中山支行,6227123456789012345,辽宁省凤城市建材胡同363号
200059,200013,农*媛,4,0,0,0,nly128,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,54300,0,0,16,0,0,1500,27300,0,0,0,0,0,0,0,30600,0,0,0,0,0,0,0,0,0,中国工商银行,6227123456789012345,广西壮族自治区南宁市青秀区建政路49号1栋2单元101号
200060,200013,陈波*,4,0,0,0,chen7021,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,42000,14,54300,0,0,15,0,0,1400,31200,0,0,0,0,0,0,0,23100,0,0,0,0,0,0,0,0,0,工商银行,6227123456789012345,福建省莆田市仙游县榜头镇紫洋小学后面
200061,200013,许鸿*,4,0,0,0,xhx6688,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,66700,3,6,85,10,0,17641,29700,0,13900,2241,0,0,0,0,42100,0,0,0,0,0,0,0,0,0,中国民生银行,6227123456789012345,福建南安官桥新村街完美店
200062,200019,陈兰*,4,0,0,0,664137797,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,10,30000,10,39000,0,0,10,0,0,1000,27300,0,0,0,0,0,0,0,11700,0,0,0,0,0,0,0,0,0,中国工商银行,6227123456789012345,湖北省武汉市江岸区后九万方二村17号
200063,200019,康显*,4,0,0,0,13281103780,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,13,92000,13,113600,1,0,22,0,1500,90,29900,0,0,90,0,0,0,0,11700,0,72000,0,0,0,0,0,0,0,中国银行,6227123456789012345,四川省成都市郫县合作镇合信路888号西南公寓3号苑
200064,200019,崔国*,4,0,0,0,ccc666,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,11,212000,10,248700,1,0,23,0,0,2340,107700,0,500,40,0,0,0,0,3900,50,141000,0,0,0,0,0,0,0,中国民生银行,6227123456789012345,河北省唐山市路南区惠民园小区411~2~1003
200065,200019,宋金*,4,0,0,0,15905780769,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,96000,13,82800,0,0,18,0,0,1600,27300,0,0,0,0,0,0,0,19500,0,72000,0,0,0,0,0,0,0,中国银行,6227123456789012345,浙江省松阳县人民大街24号
200066,200019,邓欣*,4,0,0,0,dx168168,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,10,30000,9,36100,0,0,12,0,0,3820,11700,0,2600,220,0,0,0,0,29300,80,0,0,0,0,0,0,0,0,中国邮政储蓄银行,6227123456789012345,重庆市巴南区
200067,200019,江录*,4,0,0,0,18621089550,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,42000,13,56300,18,0,128,0,0,9321,27900,0,6400,1521,0,0,0,0,32800,0,0,0,0,0,0,0,0,0,工商银行,6227123456789012345,上海市仓梧路348号
200068,200019,费婷*,4,0,0,0,feiting19930813,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,2,6000,2,7800,0,0,2,0,0,200,7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,中国建设银行,6227123456789012345,湖北省十堰市张湾区大岭路大岭小区
200069,200019,江*芳,4,0,0,0,jyf888,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,12,36000,12,46800,0,0,13,0,0,1380,23400,3900,0,180,0,0,0,0,23400,0,0,0,0,0,0,0,0,0,中国农村商业银行,6227123456789012345,江苏省江阴市利港镇兴港小区14幢104
200070,200019,孙*君,4,0,0,0,king1317slj9,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,11,310000,10,362900,11,0,28,0,0,29440,180900,0,27100,140,0,0,0,0,0,0,210200,0,0,0,0,0,0,0,中国建设银行乌海巴彦乌素大街支行,6227123456789012345,内蒙古乌海市海南区明达花园
200071,200019,王*平,4,0,0,0,18963536888,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,58300,7,0,71,8,0,6630,27900,0,4600,530,0,0,0,0,34600,0,0,0,0,0,0,0,0,0,山东省聊城市茌平县华夏支行,6227123456789012345,山东省聊城市茌平县振兴办事处马坊村
200072,200019,孙*英,4,0,0,0,15932512599s,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,12,198000,11,203400,0,0,18,0,0,1800,55500,3900,0,0,0,0,0,0,3900,0,178500,0,0,0,0,0,0,0,中国建设银行,6227123456789012345,河北省唐山市遵化市第一实验小学
200073,200019,张*根,4,0,0,0,zjg13751005211,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,11,114000,10,136000,11,0,17,0,0,3830,19500,0,1400,1030,0,0,0,0,12100,0,108700,0,0,0,0,0,0,0,深圳布吉支行,6227123456789012345,广东省深圳市宝安区龙华民治樟坑三区10栋402
200074,200019,王*侠,4,0,0,0,whx2200,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,42000,14,54300,0,0,15,2,0,1400,27300,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,中国农业银行,6227123456789012345,江苏省邳州市宿羊山镇长安路2-136号
200075,200019,郑*杰,4,0,0,0,552157037,430123456789012345,已冻结,普通用户,13412345678,2016年10月19日,1,3000,1,3900,0,0,2,0,0,100,3900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,中国农业银行,6227123456789012345,湖北省恩施市巴东县沿渡河镇神龙大道28号
200076,200019,张兆*,4,0,0,0,sxhzp666,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,61100,6,0,19,0,0,13650,31800,0,8300,3850,0,0,0,0,34400,0,0,0,0,0,0,0,0,0,中国工商银行徐州分行沛县支行,6227123456789012345,江苏省徐州市沛县新源雅居2号楼104
200077,200019,谢业*,4,0,0,0,210531,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,42000,13,50700,0,0,15,0,0,1400,27300,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,中国工商银行,6227123456789012345,湖南省永州市祁阳县
200078,200019,刘影*,4,0,0,0,15765245255,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,62000,39,0,226,1,0,16561,30600,0,12800,2261,0,0,0,0,36500,3600,0,0,0,0,0,0,0,0,建设银行,6227123456789012345,黑龙江省绥化市北林区建设街4委副30组158号
200079,200019,熊凤*,4,0,0,0,13618586563,430123456789012345,未激活,普通用户,13412345678,2016年10月19日,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,NULL,6227123456789012345,NULL
200080,200020,沈婷*,4,4,20,57,stt653,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,57500,3,0,49,3,0,5730,31200,0,4200,30,0,0,0,0,30900,0,0,0,0,0,0,0,0,0,工商银行,6227123456789012345,江苏省南通市中兴花苑3-501
200081,200020,杨镕*,4,0,0,0,13348824091,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,56200,0,0,16,0,0,3750,31200,0,1600,650,0,0,0,0,28600,0,0,0,0,0,0,0,0,0,农业银行,6227123456789012345,成都市成华区龙潭寺秀林苑西区
200082,200020,赵富*,4,0,0,0,zfh13291329083,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,11,117000,10,108900,3,0,18,0,0,6040,22700,0,3700,740,0,0,0,0,0,0,123100,0,0,0,0,0,0,0,农业银行,6227123456789012345,江苏省常州市天宁区华盛家苑
200083,200020,叶英*,4,0,0,0,kjng1314yym,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,42000,13,55200,1,0,15,0,0,6818,27300,0,5300,118,0,0,0,0,32300,0,0,0,0,0,0,0,0,0,中国银行,6227123456789012345,福建省福州市晋安区鼓山埠兴村村兰里
200084,200020,朱富*,4,0,0,0,zhufubin111,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,42000,13,50700,3,0,26,2,100,2020,27300,0,600,120,0,0,0,0,27600,0,0,0,0,0,0,0,0,0,中国农业银行,6227123456789012345,宁夏回族自治区银川市贺兰县居安苑20栋1单元501
200085,200020,易*洋,4,0,0,0,yy1113,430123456789012345,已冻结,普通用户,13412345678,2016年10月19日,6,99000,6,121500,2,0,19,0,0,4050,121500,0,1800,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,中国邮政储蓄银行,6227123456789012345,湖南省岳阳县城关镇东方路99号
200086,200020,赵*文,4,0,0,0,king1317zlw8,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,59400,2,0,48,0,0,6780,27800,0,5100,180,0,0,0,0,35200,0,0,0,0,0,0,0,0,0,工商银行衢州市支行,6227123456789012345,浙江省衢州市衢江区后溪镇张村村西塘106
200087,200020,宋*超,4,0,0,0,111111木聿口,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,1,3000,1,3900,0,0,1,0,0,100,3900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,河北省农村信用社,6227123456789012345,河北省唐山市滦县榛子镇塔上村
200088,200020,鹿*威,4,0,0,0,15965780148,430123456789012345,已冻结,普通用户,13412345678,2016年10月19日,12,36000,12,46800,0,0,14,0,0,1200,27300,3900,0,0,0,0,0,0,19500,0,0,0,0,0,0,0,0,0,工商银行山东潍坊高密市支行,6227123456789012345,山东省潍坊市高密市东小庄二号楼
